step	f1_I-SPELL
1727	0.4718632698059082
3455	0.8366991877555847
5183	0.9361954927444458
6911	0.9756906032562256
8639	0.988347589969635
10367	0.9916437864303589
12095	0.9927126169204712
13823	0.993373453617096
15551	0.9939137101173401
17279	0.9942582845687866
19007	0.9943729639053345
20735	0.9945212602615356
22463	0.9945924282073975
24191	0.9945887923240662
25919	0.9948249459266663
27647	0.9950201511383057
29375	0.9949735999107361
31103	0.994895339012146
32831	0.9949869513511658
34559	0.9951282143592834
36287	0.9950718283653259
38015	0.9947801232337952
