step	f1_macro
502	0.1375025510787964
1005	0.18674400448799133
1508	0.24582210183143616
2011	0.29843074083328247
2514	0.38826122879981995
3017	0.43272992968559265
3520	0.4789235293865204
4023	0.5273599028587341
4526	0.5644890069961548
5029	0.5901774764060974
5532	0.6307156085968018
6035	0.6648948788642883
6538	0.703698456287384
7041	0.7304298877716064
7544	0.7506862878799438
8047	0.7712544798851013
8550	0.8059143424034119
9053	0.8492139577865601
9556	0.8840547800064087
10059	0.9018268585205078
10562	0.9177116751670837
11065	0.9231537580490112
11568	0.9349218606948853
12071	0.9386742115020752
12574	0.9450302124023438
13077	0.9493016004562378
13580	0.9540151357650757
14083	0.9564552307128906
14586	0.9591678977012634
15089	0.9612431526184082
15592	0.966962456703186
16095	0.9673067331314087
16598	0.9697741270065308
17101	0.9705109596252441
17604	0.973724901676178
18107	0.9756162762641907
18610	0.9764138460159302
19113	0.9789060354232788
19616	0.9789469242095947
20119	0.9790179133415222
20622	0.9800874590873718
21125	0.9817878603935242
21628	0.9833247661590576
22131	0.9835743308067322
22634	0.9844885468482971
23137	0.985652506351471
23640	0.9855746626853943
24143	0.986955463886261
24646	0.987885594367981
25149	0.987013578414917
