step	precision_B-SPELL
1727	0.38805848360061646
3455	0.8108684420585632
5183	0.8616726398468018
6911	0.877720057964325
8639	0.8880221843719482
10367	0.892237663269043
12095	0.8958986401557922
13823	0.8988028168678284
15551	0.9007317423820496
17279	0.9025724530220032
19007	0.9040938019752502
20735	0.902091383934021
22463	0.9026499390602112
24191	0.9050493240356445
25919	0.9044424295425415
27647	0.9055119752883911
29375	0.906193196773529
31103	0.9068637490272522
32831	0.9069119691848755
34559	0.9052540063858032
36287	0.9054931402206421
38015	0.906950056552887
